mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1357, 678500, -99.137, -74.465, -0.049, 
3, 1162, 581000, -84.057, -63.749,  0.034, 

2, 1357, 678500, -95.444, -75.694, -0.260, 
3, 1162, 581000, -80.398, -63.101,  0.200, 

2, 1357, 678500, -101.198, -75.296, -0.166, 
3, 1162, 581000, -84.328, -64.192, -0.079, 

2, 1356, 678000, -98.260, -75.002, -0.143, 
3, 1161, 580500, -82.395, -65.397, -0.398, 

2, 1356, 678000, -99.116, -74.466, -0.049, 
3, 1161, 580500, -84.073, -63.982, -0.411, 

2, 1355, 677500, -98.216, -74.982, -0.197, 
3, 1160, 580000, -82.387, -65.489,  0.079, 

2, 1355, 677500, -98.943, -78.147,  0.104, 
3, 1160, 580000, -83.967, -67.286,  0.038, 

2, 1355, 677500, -95.544, -75.826, -0.164, 
3, 1160, 580000, -80.494, -63.146,  0.516, 

2, 1355, 677500, -101.354, -75.414,  0.168, 
3, 1160, 580000, -84.935, -65.216, -0.190, 

2, 1355, 677500, -98.744, -74.543,  0.138, 
3, 1160, 580000, -84.130, -63.825, -0.065, 

2, 1354, 677000, -98.803, -78.110,  0.080, 
3, 1159, 579500, -83.986, -67.340, -0.003, 

2, 1354, 677000, -95.572, -75.732, -0.253, 
3, 1159, 579500, -83.119, -62.999,  0.135, 

2, 1354, 677000, -95.465, -76.356, -0.084, 
3, 1159, 579500, -82.059, -69.579,  0.159, 

2, 1354, 677000, -101.347, -75.404,  0.153, 
3, 1159, 579500, -85.436, -65.596, -0.277, 

2, 1354, 677000, -98.736, -74.539,  0.139, 
3, 1159, 579500, -84.443, -64.263,  0.166, 

2, 1353, 676500, -98.353, -74.952, -0.194, 
3, 1158, 579000, -84.967, -65.261, -0.147, 

2, 1353, 676500, -98.558, -78.135,  0.048, 
3, 1158, 579000, -84.042, -67.406, -0.136, 

2, 1353, 676500, -95.459, -76.396, -0.009, 
3, 1158, 579000, -82.481, -65.506,  0.313, 

2, 1353, 676500, -101.347, -75.413,  0.167, 
3, 1158, 579000, -85.927, -66.300, -0.004, 

2, 1352, 676000, -95.461, -76.407,  0.177, 
3, 1157, 578500, -82.183, -69.666,  0.268, 

2, 1352, 676000, -101.374, -75.383, -0.042, 
3, 1157, 578500, -86.554, -65.800, -0.087, 

2, 1352, 676000, -98.391, -78.232, -0.189, 
3, 1157, 578500, -84.432, -67.734, -0.105, 

2, 1352, 676000, -98.757, -74.500, -0.154, 
3, 1157, 578500, -85.020, -65.292, -0.174, 

2, 1351, 675500, -98.394, -74.993, -0.190, 
3, 1156, 578000, -84.394, -67.658,  0.081, 

2, 1351, 675500, -95.478, -76.377, -0.252, 
3, 1156, 578000, -82.060, -69.482,  0.234, 

2, 1351, 675500, -101.494, -75.393, -0.327, 
3, 1156, 578000, -86.646, -65.815, -0.238, 

2, 1351, 675500, -93.349, -78.453,  0.087, 
3, 1156, 578000, -78.590, -71.743, -0.161, 

2, 1350, 675000, -101.222, -74.173, -0.377, 
3, 1155, 577500, -85.155, -65.168, -0.347, 

2, 1350, 675000, -98.408, -74.976, -0.141, 
3, 1155, 577500, -84.414, -67.594,  0.031, 

2, 1350, 675000, -95.481, -76.415,  0.123, 
3, 1155, 577500, -82.572, -67.581,  0.220, 

2, 1350, 675000, -102.457, -74.443, -0.069, 
3, 1155, 577500, -88.247, -64.594,  0.211, 

2, 1349, 674500, -101.216, -74.138, -0.380, 
3, 1154, 577000, -87.158, -65.843, -0.052, 

2, 1349, 674500, -95.582, -74.994, -0.009, 
3, 1154, 577000, -81.992, -69.059,  0.209, 

2, 1349, 674500, -102.450, -74.457, -0.134, 
3, 1154, 577000, -88.596, -64.748,  0.052, 

2, 1349, 674500, -98.769, -74.509, -0.100, 
3, 1154, 577000, -84.587, -67.273,  0.164, 

2, 1348, 674000, -101.235, -74.149, -0.243, 
3, 1153, 576500, -87.210, -65.850, -0.216, 

2, 1348, 674000, -99.118, -74.434, -0.050, 
3, 1153, 576500, -86.458, -66.108,  0.040, 

2, 1348, 674000, -102.500, -74.411, -0.137, 
3, 1153, 576500, -88.757, -64.843,  0.157, 

2, 1348, 674000, -97.756, -74.804, -0.233, 
3, 1153, 576500, -84.535, -67.337, -0.010, 

2, 1348, 674000, -95.189, -75.683, -0.276, 
3, 1153, 576500, -81.978, -68.808,  0.232, 

2, 1347, 673500, -101.234, -74.168, -0.378, 
3, 1152, 576000, -87.320, -65.893, -0.481, 

2, 1347, 673500, -99.118, -74.431, -0.050, 
3, 1152, 576000, -86.625, -66.068, -0.118, 

2, 1347, 673500, -95.584, -74.901,  0.062, 
3, 1152, 576000, -84.403, -66.738, -0.085, 

2, 1347, 673500, -102.497, -74.401, -0.137, 
3, 1152, 576000, -88.734, -64.817,  0.111, 

2, 1347, 673500, -97.756, -74.804, -0.233, 
3, 1152, 576000, -84.650, -67.276,  0.148, 

2, 1346, 673000, -101.248, -74.159, -0.380, 
3, 1151, 575500, -87.406, -65.864, -0.613, 

2, 1346, 673000, -95.468, -76.407,  0.124, 
3, 1151, 575500, -84.669, -67.182,  0.117, 

2, 1346, 673000, -98.811, -74.516,  0.140, 
3, 1151, 575500, -86.835, -65.983, -0.006, 

2, 1345, 672500, -101.219, -74.138, -0.381, 
3, 1150, 575000, -90.555, -66.535, -0.434, 

2, 1345, 672500, -97.651, -74.925, -0.233, 
3, 1150, 575000, -86.423, -66.216, -0.076, 

2, 1345, 672500, -95.183, -75.608,  0.136, 
3, 1150, 575000, -84.555, -67.346, -0.262, 

2, 1344, 672000, -101.177, -74.118, -0.381, 
3, 1149, 574500, -90.436, -66.469, -0.371, 

2, 1344, 672000, -95.393, -74.805,  0.065, 
3, 1149, 574500, -84.411, -67.762,  0.391, 

2, 1344, 672000, -97.662, -74.843, -0.114, 
3, 1149, 574500, -86.983, -66.089, -0.472, 

2, 1344, 672000, -102.414, -74.388, -0.069, 
3, 1149, 574500, -91.590, -67.160,  0.087, 

2, 1344, 672000, -103.120, -71.490, -0.013, 
3, 1149, 574500, -92.913, -64.250,  0.481, 

2, 1343, 671500, -101.236, -74.155, -0.380, 
3, 1148, 574000, -90.202, -66.402, -0.253, 

2, 1343, 671500, -85.586, -81.837, -0.287, 
3, 1148, 574000, -78.868, -73.386,  0.314, 

2, 1343, 671500, -95.337, -74.945,  0.065, 
3, 1148, 574000, -84.297, -68.171,  0.068, 

2, 1343, 671500, -95.477, -76.389, -0.084, 
3, 1148, 574000, -86.079, -66.632,  0.060, 

2, 1343, 671500, -103.075, -71.441,  0.257, 
3, 1148, 574000, -92.243, -63.817,  0.176, 

2, 1342, 671000, -101.293, -74.146, -0.064, 
3, 1147, 573500, -91.641, -67.176, -0.122, 

2, 1342, 671000, -95.509, -76.349, -0.253, 
3, 1147, 573500, -86.027, -66.646, -0.009, 

2, 1342, 671000, -85.510, -81.731, -0.030, 
3, 1147, 573500, -78.636, -72.834,  0.595, 

2, 1342, 671000, -95.012, -74.983,  0.069, 
3, 1147, 573500, -84.272, -68.323, -0.111, 

2, 1342, 671000, -95.458, -76.400,  0.183, 
3, 1147, 573500, -86.003, -66.705,  0.353, 

2, 1342, 671000, -92.517, -73.075,  0.109, 
3, 1147, 573500, -82.041, -70.194,  0.541, 

2, 1341, 670500, -101.235, -74.152, -0.317, 
3, 1146, 573000, -91.580, -67.172, -0.124, 

2, 1341, 670500, -98.351, -78.696,  0.119, 
3, 1146, 573000, -88.645, -71.415,  0.165, 

2, 1341, 670500, -85.625, -81.951, -0.030, 
3, 1146, 573000, -78.664, -72.883,  0.151, 

2, 1341, 670500, -94.972, -75.029,  0.219, 
3, 1146, 573000, -84.315, -68.299, -0.116, 

2, 1341, 670500, -103.053, -71.462,  0.335, 
3, 1146, 573000, -93.901, -66.672, -0.099, 

2, 1340, 670000, -101.275, -74.168, -0.336, 
3, 1145, 572500, -91.670, -67.250, -0.007, 

2, 1340, 670000, -98.330, -78.701,  0.165, 
3, 1145, 572500, -88.632, -71.647,  0.145, 

2, 1340, 670000, -95.523, -76.398, -0.394, 
3, 1145, 572500, -85.998, -66.874, -0.195, 

2, 1339, 669500, -101.379, -74.187, -0.351, 
3, 1144, 572000, -91.717, -67.280, -0.063, 

2, 1339, 669500, -95.571, -76.287, -0.107, 
3, 1144, 572000, -86.122, -66.769, -0.010, 

2, 1339, 669500, -103.522, -71.850, -0.367, 
3, 1144, 572000, -93.707, -66.632,  0.264, 

2, 1339, 669500, -95.157, -74.780,  0.174, 
3, 1144, 572000, -84.371, -68.367,  0.077, 

2, 1338, 669000, -102.799, -74.913, -0.007, 
3, 1143, 571500, -91.727, -67.294, -0.122, 

2, 1338, 669000, -101.392, -74.178, -0.281, 
3, 1143, 571500, -90.247, -66.484, -0.281, 

2, 1338, 669000, -104.842, -73.900, -0.207, 
3, 1143, 571500, -93.710, -66.309, -0.302, 

2, 1338, 669000, -95.593, -76.455,  0.398, 
