count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000,  0.418,  2.224, -0.043, 
2, 1000, -0.092,  1.475, -0.084, 
2, 1000,  8.621,  8.260,  0.621, 
2, 1000,  7.960, 11.616,  0.394, 
2, 1000, 16.056, -5.970,  0.686, 

3, 1500,  0.420,  2.188,  0.172, 
3, 1500, -0.122,  1.445, -0.054, 
3, 1500, 16.070, -5.721,  0.683, 
3, 1500,  9.275,  2.045,  0.380, 
3, 1500,  8.362, -9.366,  0.503, 
3, 1500, 15.466, -8.449,  1.537, 
3, 1500, 36.716,  1.543,  1.029, 
3, 1500,  8.491,  7.523,  0.704, 

4, 2000,  0.396,  2.194,  0.172, 
4, 2000, -0.121,  1.430, -0.053, 
4, 2000, 16.000, -5.768,  0.681, 
4, 2000,  9.244,  2.048,  0.826, 
4, 2000,  9.084, -9.428,  0.524, 
4, 2000,  8.486,  7.518,  0.704, 
4, 2000,  0.417,  2.218, -0.043, 

5, 2500,  0.400,  2.201,  0.173, 
5, 2500, -0.105,  1.432, -0.053, 
5, 2500, 16.052, -5.732,  0.682, 
5, 2500,  9.283,  2.047,  0.380, 

6, 3000,  0.398,  2.190,  0.172, 
6, 3000, -0.121,  1.464, -0.054, 
6, 3000, 16.019, -5.775,  0.681, 
6, 3000,  9.264,  2.042,  0.827, 
6, 3000,  0.428,  2.217, -0.084, 
6, 3000,  9.095, -9.383,  0.523, 
6, 3000, 36.685,  1.542,  1.028, 

7, 3500,  0.423,  2.202,  0.173, 
7, 3500, -0.121,  1.450, -0.054, 
7, 3500,  9.280,  2.036,  0.380, 
7, 3500,  0.418,  2.226, -0.043, 
7, 3500,  9.120, -9.390,  0.524, 
7, 3500, -0.141, -2.092,  0.027, 

8, 4000,  0.402,  2.210,  0.173, 
8, 4000, -0.105,  1.432, -0.053, 
8, 4000,  9.292,  2.029,  0.495, 
8, 4000, -0.148, -1.967,  0.103, 
8, 4000, -0.069, -1.968, -0.281, 
8, 4000,  1.076, -2.114,  0.183, 
8, 4000,  8.516,  7.545,  0.706, 

9, 4500,  0.416,  2.212, -0.043, 
