count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000, 64.086, -54.405, -0.015, 
2, 1000, 54.493, -50.677, -0.006, 
2, 1000, 65.496, -53.390,  0.339, 
2, 1000, 63.554, -57.296, -0.018, 
2, 1000, 55.287, -52.221,  0.191, 
2, 1000, 63.918, -56.651, -0.018, 
2, 1000, 61.769, -60.079, -0.021, 
2, 1000, 55.294, -51.583, -0.005, 
2, 1000, 63.198, -58.423,  0.126, 
2, 1000, 55.960, -53.251,  0.213, 
2, 1000, 55.887, -53.302, -0.240, 
2, 1000, 41.664, -68.498,  0.955, 
2, 1000, 61.108, -62.192,  0.849, 
2, 1000, 48.054, -49.549, -0.019, 
2, 1000, 55.216, -53.655, -0.292, 

3, 1500, 64.156, -54.202, -0.015, 
3, 1500, 54.509, -50.727, -0.006, 
3, 1500, 65.167, -53.866,  0.726, 
3, 1500, 63.844, -56.788, -0.018, 
3, 1500, 55.283, -51.538,  0.067, 
3, 1500, 55.966, -53.230,  0.211, 
3, 1500, 55.823, -53.151, -0.112, 
3, 1500, 60.713, -62.130,  0.741, 
3, 1500, 58.008, -64.911,  1.246, 
3, 1500, 55.311, -52.302, -0.270, 
3, 1500, 45.484, -57.096,  0.546, 
3, 1500, 61.661, -60.167,  0.135, 
3, 1500, 63.616, -57.857,  0.826, 
3, 1500, 55.208, -59.331, -0.018, 

4, 2000, 64.128, -54.281, -0.015, 
4, 2000, 54.496, -50.668,  0.039, 
4, 2000, 65.156, -53.843,  0.724, 
4, 2000, 64.289, -56.025, -0.165, 
4, 2000, 55.287, -51.532,  0.095, 
4, 2000, 55.961, -53.244,  0.212, 
4, 2000, 55.807, -53.125, -0.057, 
4, 2000, 60.792, -61.408,  0.146, 
4, 2000, 58.006, -64.862,  1.242, 
4, 2000, 55.308, -52.287,  0.077, 
4, 2000, 45.487, -57.110,  0.546, 
4, 2000, 63.068, -58.073, -0.019, 
4, 2000, 63.562, -57.926,  0.827, 
4, 2000, 55.217, -59.332, -0.018, 
4, 2000, 65.545, -53.060,  0.733, 
4, 2000, 65.242, -54.147, -0.017, 
4, 2000, 55.611, -68.497,  1.386, 

5, 2500, 64.156, -54.193,  0.098, 
5, 2500, 54.493, -50.668,  0.039, 
5, 2500, 65.164, -53.847,  0.725, 
5, 2500, 63.974, -54.506, -0.582, 
5, 2500, 55.313, -51.575,  0.124, 
5, 2500, 55.968, -53.233,  0.211, 
5, 2500, 64.047, -56.390,  0.113, 
5, 2500, 57.863, -64.842,  1.240, 
5, 2500, 55.267, -52.249,  0.036, 
5, 2500, 45.482, -57.113,  0.382, 
5, 2500, 55.206, -59.374, -0.018, 
5, 2500, 65.467, -53.407,  0.338, 
5, 2500, 56.015, -67.780,  0.689, 
5, 2500, 60.249, -62.090,  0.330, 
5, 2500, 55.315, -52.299, -0.270, 

6, 3000, 64.117, -54.284, -0.144, 
6, 3000, 54.501, -50.727, -0.006, 
6, 3000, 65.164, -53.847,  0.725, 
6, 3000, 55.302, -51.572,  0.167, 
6, 3000, 55.944, -53.220,  0.212, 
6, 3000, 58.020, -64.841,  1.240, 
6, 3000, 55.267, -52.249,  0.036, 
6, 3000, 45.474, -57.117,  0.547, 
6, 3000, 55.215, -59.340, -0.018, 
6, 3000, 56.025, -68.068,  1.350, 
6, 3000, 60.250, -62.092,  0.153, 
6, 3000, 55.295, -52.311, -0.272, 
6, 3000, 55.815, -53.136, -0.057, 
6, 3000, 61.434, -60.498,  0.298, 
6, 3000, 63.834, -56.791, -0.018, 
6, 3000, 62.481, -58.952, -0.184, 
6, 3000, 63.073, -58.064, -0.177, 
6, 3000, 63.408, -57.568, -0.018, 

7, 3500, 64.135, -54.208, -0.143, 
7, 3500, 54.499, -50.728,  0.039, 
7, 3500, 65.162, -53.855,  0.725, 
7, 3500, 55.280, -51.542,  0.096, 
7, 3500, 55.937, -53.219,  0.212, 
7, 3500, 57.991, -64.834,  1.239, 
7, 3500, 55.315, -52.285,  0.077, 
7, 3500, 45.482, -57.113,  0.546, 
7, 3500, 55.219, -59.324, -0.018, 
7, 3500, 56.003, -68.123,  1.354, 
7, 3500, 60.157, -62.213,  0.154, 
7, 3500, 55.833, -53.142, -0.111, 
7, 3500, 63.074, -58.065, -0.019, 
7, 3500, 63.912, -56.657, -0.018, 
7, 3500, 64.207, -56.148, -0.165, 
7, 3500, 65.533, -53.065,  0.732, 
7, 3500, 65.222, -54.147, -0.017, 

8, 4000, 64.168, -54.200, -0.015, 
8, 4000, 54.486, -50.671,  0.039, 
8, 4000, 65.154, -53.851,  0.725, 
8, 4000, 55.272, -51.525, -0.046, 
8, 4000, 55.962, -53.243,  0.212, 
8, 4000, 58.006, -64.853,  1.241, 
8, 4000, 55.329, -52.271,  0.076, 
8, 4000, 45.469, -57.089,  0.382, 
8, 4000, 55.591, -68.509,  1.387, 
8, 4000, 60.719, -62.106,  0.740, 
8, 4000, 55.796, -53.136, -0.057, 
8, 4000, 65.541, -53.068,  0.733, 
8, 4000, 61.596, -60.308,  0.137, 
8, 4000, 54.499, -50.758, -0.362, 

9, 4500, 64.166, -54.207, -0.015, 
9, 4500, 54.492, -50.671,  0.039, 
9, 4500, 65.157, -53.844,  0.725, 
9, 4500, 55.298, -51.587,  0.067, 
9, 4500, 55.824, -53.123, -0.057, 
9, 4500, 58.021, -64.884,  1.244, 
9, 4500, 55.325, -52.278,  0.035, 
9, 4500, 45.467, -57.090,  0.382, 
9, 4500, 56.020, -68.134,  1.355, 
9, 4500, 63.076, -58.067, -0.019, 
9, 4500, 54.497, -50.758, -0.362, 
9, 4500, 58.404, -51.135, -0.251, 
9, 4500, 60.350, -62.009,  0.152, 
9, 4500, 63.885, -56.632, -0.018, 
9, 4500, 55.208, -59.330, -0.018, 
9, 4500, 65.217, -54.145, -0.017, 

10, 5000, 64.156, -54.193,  0.098, 
10, 5000, 54.505, -50.671,  0.039, 
10, 5000, 65.158, -53.844,  0.725, 
10, 5000, 55.292, -51.581, -0.046, 
10, 5000, 55.948, -53.219,  0.187, 
10, 5000, 58.005, -64.829,  1.239, 
10, 5000, 55.286, -52.293,  0.172, 
10, 5000, 45.471, -57.103,  0.382, 
10, 5000, 56.023, -68.092,  1.352, 
10, 5000, 63.068, -58.057, -0.019, 
10, 5000, 60.347, -61.994,  0.152, 
10, 5000, 63.885, -56.632, -0.018, 
10, 5000, 55.210, -59.324, -0.018, 
10, 5000, 65.286, -54.018, -0.161, 
10, 5000, 65.522, -53.141,  0.734, 
10, 5000, 60.620, -62.153,  1.041, 

11, 5500, 64.153, -54.208, -0.015, 
11, 5500, 54.504, -50.697,  0.039, 
11, 5500, 65.161, -53.854,  0.725, 
11, 5500, 55.273, -51.542,  0.031, 
11, 5500, 55.963, -53.229,  0.233, 
11, 5500, 57.991, -64.843,  1.240, 
11, 5500, 55.274, -52.237, -0.005, 
11, 5500, 45.485, -57.112,  0.710, 
11, 5500, 56.001, -68.143,  1.356, 
11, 5500, 63.919, -56.663, -0.018, 
11, 5500, 55.206, -59.338, -0.018, 
11, 5500, 65.284, -54.026, -0.161, 
11, 5500, 65.534, -53.154,  0.735, 
11, 5500, 60.631, -62.148,  1.041, 
11, 5500, 54.517, -50.760, -0.426, 
11, 5500, 61.497, -60.398,  0.137, 

12, 6000, 64.117, -54.275, -0.015, 
12, 6000, 54.500, -50.668,  0.039, 
12, 6000, 65.163, -53.855,  0.725, 
12, 6000, 55.279, -51.548, -0.089, 
12, 6000, 55.962, -53.236,  0.233, 
12, 6000, 58.006, -64.854,  1.241, 
