mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

1, 97, 48500, 14.411, -18.445,  0.043, 
3, 339, 169500, 14.344, -18.578, -0.066, 

1, 97, 48500,  9.978, -15.844,  0.187, 
3, 339, 169500, 11.550, -15.849,  0.078, 

1, 97, 48500,  6.459, -18.483,  0.922, 
3, 339, 169500,  6.351, -18.345, -0.022, 

1, 96, 48000, 14.406, -18.417, -0.010, 
3, 340, 170000, 14.291, -18.474, -0.129, 

1, 96, 48000, 20.506, -16.374, -0.069, 
3, 340, 170000, 20.961, -15.712, -0.072, 

1, 96, 48000, 11.578, -15.757,  0.069, 
3, 340, 170000, 11.595, -15.533,  0.163, 

1, 95, 47500, 20.524, -16.664,  0.195, 
3, 341, 170500, 20.952, -15.321, -0.008, 

1, 95, 47500,  6.511, -18.551,  0.664, 
3, 341, 170500,  6.352, -18.291,  0.143, 

1, 95, 47500, 11.585, -15.813,  0.148, 
3, 341, 170500, 12.688, -18.256, -0.374, 

1, 95, 47500, -1.499, -18.907,  0.969, 
3, 341, 170500, -1.661, -17.850,  0.245, 

1, 94, 47000, 20.943, -15.331, -0.315, 
3, 342, 171000, 20.931, -14.971, -0.077, 

1, 94, 47000, 14.449, -15.348, -0.089, 
3, 342, 171000, 14.433, -15.470,  0.145, 

1, 94, 47000,  6.513, -18.681,  0.141, 
3, 342, 171000,  6.361, -18.390,  0.306, 

1, 94, 47000, -1.462, -19.417,  0.750, 
3, 342, 171000, -1.642, -18.140,  0.244, 

1, 93, 46500, 14.453, -15.123,  0.067, 
3, 343, 171500, 14.484, -15.354,  0.154, 

1, 93, 46500,  6.417, -18.421,  0.142, 
3, 343, 171500,  6.296, -18.291, -0.022, 

1, 93, 46500, 20.947, -15.191, -0.008, 
3, 343, 171500, 20.984, -14.898,  0.054, 

1, 93, 46500, 14.611, -14.858,  0.029, 
3, 343, 171500, 14.666, -14.965,  0.070, 

1, 92, 46000, 14.612, -14.819, -0.125, 
3, 344, 172000, 14.660, -15.019, -0.043, 

1, 92, 46000, 20.946, -14.913,  0.295, 
3, 344, 172000, 20.966, -14.562, -0.156, 

1, 91, 45500, 14.623, -14.778,  0.092, 
3, 345, 172500, 14.658, -15.008, -0.004, 

1, 91, 45500, 14.454, -14.366,  0.179, 
3, 345, 172500, 14.470, -14.760,  0.096, 

1, 91, 45500, 20.950, -14.214,  0.117, 
3, 345, 172500, 20.971, -14.495, -0.008, 

1, 90, 45000, 20.971, -13.811,  0.055, 
3, 346, 173000, 20.681, -8.024,  0.218, 

1, 90, 45000, 14.630, -14.790,  0.064, 
3, 346, 173000, 14.657, -15.009,  0.085, 

1, 90, 45000, 14.347, -13.993, -0.342, 
3, 346, 173000, 14.421, -14.116, -0.518, 

1, 90, 45000, 14.431, -14.338,  0.096, 
3, 346, 173000, 14.476, -14.585,  0.029, 

1, 89, 44500, 20.976, -13.471, -0.081, 
3, 347, 173500, 20.970, -13.659, -0.159, 

1, 89, 44500, 14.398, -13.389, -0.500, 
3, 347, 173500, 14.420, -14.301, -0.493, 

1, 88, 44000, 20.963, -13.249, -0.009, 
3, 348, 174000, 20.971, -13.519, -0.162, 

1, 88, 44000, 14.361, -13.141, -0.393, 
3, 348, 174000, 14.417, -14.006, -0.493, 

1, 87, 43500, 20.956, -13.078, -0.081, 
3, 349, 174500, 21.000, -13.223, -0.009, 

1, 87, 43500, 14.336, -14.235,  0.112, 
3, 349, 174500, 14.424, -13.221, -0.498, 

1, 86, 43000, 14.448, -12.204, -0.554, 
3, 349, 174500, 14.424, -13.221, -0.498, 

1, 86, 43000, 20.388, -16.387, -0.109, 
3, 349, 174500, 21.000, -13.223, -0.009, 

1, 85, 42500, 14.444, -11.915, -0.501, 
3, 350, 175000, 14.479, -11.436, -0.053, 

1, 85, 42500, 21.007, -12.370,  0.056, 
3, 350, 175000, 20.991, -13.028,  0.171, 

1, 84, 42000, 14.545, -11.227, -0.222, 
