mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

3, 568, 284000,  6.012,  1.040,  0.109, 
6, 234, 117000, 79.012, -16.208,  0.090, 

3, 568, 284000,  5.417,  9.814, -0.242, 
6, 234, 117000, 86.685, -14.534, -0.013, 

3, 568, 284000,  8.507, -0.574,  0.072, 
6, 234, 117000, 76.057, -15.885,  0.226, 

3, 568, 284000,  8.653, -7.571,  0.607, 
6, 234, 117000, 69.080, -14.901,  0.580, 

3, 568, 284000,  5.888, -8.371,  0.613, 
6, 234, 117000, 67.944, -13.257,  0.161, 

3, 567, 283500,  7.140,  9.166,  0.332, 
6, 233, 116500, 85.675, -16.149,  0.237, 

3, 567, 283500,  6.008,  1.037,  0.076, 
6, 233, 116500, 79.041, -16.245, -0.045, 

3, 567, 283500,  5.429,  9.806, -0.124, 
6, 233, 116500, 86.731, -14.229, -0.240, 

3, 567, 283500,  8.477, -0.648,  0.073, 
6, 233, 116500, 76.048, -15.846,  0.329, 

3, 566, 283000,  6.991,  9.197,  0.331, 
6, 232, 116000, 85.835, -15.828,  0.307, 

3, 566, 283000,  6.014,  1.037,  0.110, 
6, 232, 116000, 79.045, -16.222, -0.162, 

3, 566, 283000,  5.426,  9.807,  0.340, 
6, 232, 116000, 86.832, -14.081, -0.013, 

3, 566, 283000,  8.480, -0.645,  0.157, 
6, 232, 116000, 76.067, -15.878,  0.192, 

3, 565, 282500,  6.790,  9.298,  0.332, 
6, 231, 115500, 85.684, -16.168, -0.114, 

3, 565, 282500,  6.003,  1.041,  0.142, 
6, 231, 115500, 77.970, -13.632, -0.189, 

3, 565, 282500,  5.417,  9.802,  0.183, 
6, 231, 115500, 87.043, -13.638, -0.013, 

3, 565, 282500,  8.400, -0.733,  0.073, 
6, 231, 115500, 75.943, -15.696,  0.257, 

3, 564, 282000,  6.788,  9.315,  0.333, 
6, 230, 115000, 85.309, -16.813,  0.174, 

3, 564, 282000,  6.014,  1.025,  0.036, 
6, 230, 115000, 77.984, -13.644,  0.217, 

3, 564, 282000,  8.515,  2.461,  0.054, 
6, 230, 115000, 79.045, -16.281, -0.137, 

3, 564, 282000,  5.440,  9.800, -0.124, 
6, 230, 115000, 86.741, -14.245,  0.084, 

3, 564, 282000,  8.444, -0.679,  0.073, 
6, 230, 115000, 75.926, -15.741,  0.281, 

3, 563, 281500,  6.956,  9.216,  0.334, 
6, 229, 114500, 85.999, -15.581,  0.082, 

3, 563, 281500,  5.938,  0.976, -0.006, 
6, 229, 114500, 77.953, -13.598,  0.109, 

3, 563, 281500,  8.501,  2.427,  0.055, 
6, 229, 114500, 78.989, -16.246, -0.008, 

3, 563, 281500,  5.654, -8.371,  0.731, 
6, 229, 114500, 68.684, -12.134,  0.153, 

3, 562, 281000,  6.363,  9.459, -0.013, 
6, 228, 114000, 86.130, -15.338,  0.400, 

3, 562, 281000,  5.982,  1.036,  0.040, 
6, 228, 114000, 77.963, -13.630,  0.126, 

3, 562, 281000,  8.474,  2.587,  0.121, 
6, 228, 114000, 79.032, -16.257,  0.123, 

3, 562, 281000,  8.681, -7.550,  0.824, 
6, 228, 114000, 69.094, -15.166,  0.329, 

3, 562, 281000,  5.200,  9.841, -0.013, 
6, 228, 114000, 86.712, -14.232, -0.249, 

3, 561, 280500,  6.528,  9.379,  0.407, 
6, 227, 113500, 86.313, -15.031,  0.270, 

3, 561, 280500,  5.529,  9.802,  0.186, 
6, 227, 113500, 86.751, -14.214, -0.126, 

3, 561, 280500,  5.963,  0.988, -0.061, 
6, 227, 113500, 77.986, -13.641, -0.065, 

3, 561, 280500,  8.499,  2.388,  0.060, 
6, 227, 113500, 79.038, -16.297,  0.066, 

3, 561, 280500,  8.421, -0.677,  0.167, 
6, 227, 113500, 75.969, -15.839,  0.322, 

3, 560, 280000,  6.537,  9.424,  0.276, 
6, 226, 113000, 86.340, -15.010,  0.277, 

3, 560, 280000,  5.601,  9.804, -0.128, 
6, 226, 113000, 86.650, -14.494,  0.278, 

3, 560, 280000,  6.005,  1.027,  0.097, 
6, 226, 113000, 77.995, -13.616,  0.295, 

3, 560, 280000,  8.535,  2.359,  0.270, 
6, 226, 113000, 79.260, -16.317, -0.101, 

3, 559, 279500,  6.220,  9.552,  0.193, 
6, 225, 112500, 86.590, -14.589,  0.193, 

3, 559, 279500,  5.549,  9.798, -0.014, 
6, 225, 112500, 86.851, -13.951,  0.191, 

3, 559, 279500,  5.991,  1.001,  0.102, 
6, 225, 112500, 78.002, -13.638, -0.011, 

3, 559, 279500,  8.525,  2.388,  0.153, 
6, 225, 112500, 79.259, -16.338, -0.115, 

3, 559, 279500,  3.048,  1.813,  0.041, 
6, 225, 112500, 79.088, -10.802,  0.064, 

3, 559, 279500, 15.581,  5.552,  0.648, 
6, 225, 112500, 81.545, -23.594,  0.666, 

3, 558, 279000,  6.016,  9.666,  0.198, 
6, 224, 112000, 86.500, -14.667,  0.197, 

3, 558, 279000,  3.039,  1.842,  0.109, 
6, 224, 112000, 79.301, -10.500,  0.039, 

3, 558, 279000,  4.410, 10.153,  0.091, 
6, 224, 112000, 87.714, -11.970, -0.014, 

3, 558, 279000,  8.508,  2.414,  0.079, 
6, 224, 112000, 79.186, -16.342, -0.018, 

3, 557, 278500,  2.676,  1.988, -0.025, 
6, 223, 111500, 79.311, -10.425,  0.061, 

3, 557, 278500,  8.425,  8.695,  0.223, 
6, 223, 111500, 85.334, -17.007,  0.106, 

3, 557, 278500,  4.594, 10.100,  0.092, 
6, 223, 111500, 87.330, -12.814,  0.198, 

3, 557, 278500,  3.136, 10.579, -0.139, 
6, 223, 111500, 87.915, -11.360,  0.204, 

3, 557, 278500,  5.946,  0.990,  0.272, 
6, 223, 111500, 78.160, -13.700,  0.184, 

3, 557, 278500, 10.359,  7.849,  0.118, 
6, 223, 111500, 84.065, -19.307,  0.395, 

3, 557, 278500,  1.863,  9.912, -0.013, 
6, 223, 111500, 87.372, -9.859, -0.013, 

3, 557, 278500,  7.571,  8.991,  0.213, 
6, 223, 111500, 86.111, -15.491,  0.098, 

3, 557, 278500,  8.492,  2.368,  0.332, 
6, 223, 111500, 79.144, -16.282,  0.174, 

3, 557, 278500,  4.036, 10.303,  0.200, 
6, 223, 111500, 87.630, -12.096, -0.014, 

3, 556, 278000,  4.893,  9.975,  0.296, 
6, 222, 111000, 87.120, -13.264,  0.297, 

3, 556, 278000,  2.590,  1.968,  0.073, 
6, 222, 111000, 79.271, -10.399,  0.065, 

3, 556, 278000,  4.070, 10.267, -0.014, 
6, 222, 111000, 87.591, -12.147,  0.202, 

3, 556, 278000,  1.039, 11.074,  0.685, 
6, 222, 111000, 88.575, -9.001,  0.553, 

3, 556, 278000,  1.944,  9.907,  0.086, 
6, 222, 111000, 87.420, -9.721,  0.268, 

3, 556, 278000,  8.519,  2.532,  0.090, 
6, 222, 111000, 79.118, -16.257,  0.277, 

3, 556, 278000,  5.552,  9.771,  0.205, 
6, 222, 111000, 86.816, -13.964,  0.095, 

3, 555, 277500,  7.954,  8.963,  0.455, 
6, 221, 110500, 85.886, -15.794,  0.228, 

3, 555, 277500,  3.126, 10.507,  0.302, 
6, 221, 110500, 87.821, -11.527,  0.303, 

3, 555, 277500,  1.771,  9.899,  0.185, 
6, 221, 110500, 87.363, -9.891, -0.013, 

3, 555, 277500,  6.059,  9.644,  0.408, 
6, 221, 110500, 86.593, -14.469,  0.408, 

3, 555, 277500,  1.760,  0.901, -0.045, 
6, 221, 110500, 78.305, -9.328, -0.005, 

3, 555, 277500,  5.965,  1.097,  0.357, 
6, 221, 110500, 78.112, -13.641,  0.270, 

3, 555, 277500,  3.819, 10.338,  0.302, 
6, 221, 110500, 87.563, -12.210,  0.206, 

3, 555, 277500,  2.452,  1.818,  0.124, 
6, 221, 110500, 79.289, -10.407,  0.026, 

3, 555, 277500,  3.956, -8.283,  0.731, 
6, 221, 110500, 68.866, -11.529,  0.626, 

3, 555, 277500,  0.675, 11.096,  0.688, 
6, 221, 110500, 88.587, -9.093,  0.489, 

3, 554, 277000,  2.571,  1.908,  0.145, 
6, 220, 110000, 79.129, -10.175,  0.157, 

3, 554, 277000,  7.098,  9.097,  0.518, 
6, 220, 110000, 86.215, -15.260,  0.439, 

3, 554, 277000,  1.744,  9.922,  0.087, 
6, 220, 110000, 87.271, -10.235,  0.087, 

3, 554, 277000,  3.856, 10.281,  0.389, 
6, 220, 110000, 87.592, -12.065,  0.308, 

3, 554, 277000,  0.737, 11.182, -0.016, 
6, 220, 110000, 88.630, -9.262, -0.016, 

3, 554, 277000,  6.318,  9.422,  0.111, 
6, 220, 110000, 86.644, -14.381,  0.414, 

3, 554, 277000,  1.602,  0.878, -0.088, 
6, 220, 110000, 78.301, -9.297,  0.097, 

3, 554, 277000,  5.879,  0.939,  0.361, 
6, 220, 110000, 78.075, -13.627,  0.326, 

3, 554, 277000,  4.639, 10.050,  0.401, 
6, 220, 110000, 87.284, -12.864,  0.311, 

3, 553, 276500,  1.757,  9.899, -0.014, 
6, 219, 109500, 87.270, -10.238,  0.088, 

3, 553, 276500,  3.455, -0.917,  0.422, 
6, 219, 109500, 78.164, -13.700, -0.011, 

3, 553, 276500,  2.598,  1.923,  0.090, 
6, 219, 109500, 79.165, -10.227,  0.113, 

3, 553, 276500,  8.643,  8.499,  0.262, 
6, 219, 109500, 84.113, -17.383, -0.019, 

3, 553, 276500,  0.356, 11.076,  0.556, 
6, 219, 109500, 88.552, -8.534,  0.608, 

3, 553, 276500,  1.578,  0.882, -0.135, 
6, 219, 109500, 78.321, -9.384,  0.100, 

3, 553, 276500,  3.548, 10.370,  0.214, 
6, 219, 109500, 87.938, -11.221,  0.215, 

3, 553, 276500, 12.650,  6.766,  0.637, 
6, 219, 109500, 83.000, -21.749,  0.929, 

3, 553, 276500,  8.501,  2.384,  0.220, 
6, 219, 109500, 79.499, -16.340, -0.015, 

3, 553, 276500,  0.972,  0.688, -0.047, 
6, 219, 109500, 78.101, -8.834, -0.144, 

3, 552, 276000,  2.489,  1.932,  0.067, 
6, 219, 109500, 79.315, -10.435,  0.033, 

3, 552, 276000,  3.974, -0.597,  0.210, 
