count, time, abs_prox_x, abs_prox_y, abs_prox_z, 



4, 2000,  0.177, -1.190, -0.131, 
4, 2000,  9.826,  3.352,  0.292, 
4, 2000, -0.214,  5.850, -0.011, 
4, 2000,  8.342,  5.165,  0.758, 
4, 2000,  0.958,  8.101, -0.153, 
4, 2000,  9.809, -3.062,  0.416, 
4, 2000,  4.820, -4.050,  0.084, 

5, 2500,  0.168, -1.180, -0.189, 
5, 2500, -0.219,  5.843, -0.109, 
5, 2500,  8.421,  4.972,  0.756, 
5, 2500,  9.726, -3.024,  0.899, 
5, 2500,  4.831, -4.068,  0.084, 
5, 2500,  0.028, -1.202, -0.320, 

6, 3000,  0.065, -1.180, -0.316, 
6, 3000, -0.225,  5.833, -0.109, 
6, 3000,  8.442,  5.052,  0.513, 
6, 3000,  9.801, -3.048,  0.541, 
6, 3000,  4.810, -4.118,  0.259, 
6, 3000,  0.215, -1.184, -0.191, 
6, 3000,  3.380,  4.633,  0.439, 
6, 3000, 10.977,  3.400,  0.462, 

7, 3500,  0.171, -1.175, -0.221, 
7, 3500, -0.219,  5.846, -0.011, 
7, 3500,  8.424,  4.940,  0.853, 
7, 3500,  9.788, -3.044,  0.540, 
7, 3500,  4.827, -4.056,  0.084, 
7, 3500,  3.380,  4.633,  0.439, 
7, 3500, 11.491,  3.389,  0.337, 
7, 3500,  0.015, -1.195, -0.319, 
7, 3500,  2.898,  8.070, -0.161, 
7, 3500, -0.384, -5.842,  0.311, 

8, 4000,  0.170, -1.175, -0.221, 
8, 4000, -0.229,  5.829, -0.109, 
8, 4000,  4.813, -4.111,  0.259, 
8, 4000,  3.354,  4.644,  0.496, 
8, 4000, 11.994,  3.400,  0.351, 
8, 4000,  0.030, -1.199, -0.286, 
8, 4000, -0.425, -5.832,  0.418, 

9, 4500,  0.199, -1.178, -0.131, 
9, 4500, -0.223,  5.863, -0.011, 
9, 4500,  4.844, -4.057,  0.083, 
9, 4500,  3.219,  4.760,  0.494, 
9, 4500, -0.389, -5.833,  0.310, 
9, 4500,  8.453,  4.908,  0.752, 
9, 4500,  0.051, -1.189, -0.351, 
9, 4500, 28.892,  4.639,  2.259, 
9, 4500,  0.331, -4.583,  0.364, 

10, 5000,  0.245, -1.188, -0.186, 
10, 5000,  3.430,  4.627,  0.436, 
10, 5000,  8.535,  4.894,  0.755, 
10, 5000,  0.113, -1.202, -0.320, 
10, 5000, -0.052,  5.549, -0.201, 
10, 5000, 29.250,  2.952,  0.819, 

11, 5500,  0.410, -1.175, -0.246, 
11, 5500, -0.162,  5.941, -0.012, 
11, 5500, 13.934,  3.210,  0.736, 
11, 5500,  4.900, -4.140,  0.259, 

12, 6000,  0.463, -1.182, -0.279, 
12, 6000,  5.014, -4.016,  0.076, 
12, 6000,  0.491, -4.559,  0.407, 
12, 6000,  9.099,  4.654, -0.189, 
12, 6000,  8.557,  5.036,  0.589, 

13, 6500,  5.045, -4.010,  0.079, 
13, 6500,  0.482, -4.578,  0.360, 
13, 6500,  8.543,  5.068,  0.782, 
13, 6500,  3.406,  4.702,  0.456, 
13, 6500,  3.834,  4.554,  0.452, 
13, 6500,  1.157, -5.920,  0.313, 
