count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
29, 14500,  1.689, -4.124,  0.277, 
29, 14500,  4.310, -2.709,  0.143, 
29, 14500,  3.094, -3.551,  0.132, 
29, 14500,  0.123, -2.126,  0.186, 
29, 14500,  0.311, -2.148, -0.415, 

30, 15000,  0.152,  1.629, -0.061, 
30, 15000, -0.111, -2.183,  0.169, 
30, 15000,  3.512,  2.644,  0.273, 
30, 15000,  2.586, -3.795, -0.170, 
30, 15000,  0.344, -2.073,  0.059, 
30, 15000,  1.106, -4.308, -0.009, 
30, 15000, 14.112,  4.763,  1.299, 
30, 15000, 10.492,  0.814,  0.548, 
30, 15000,  2.252, -3.886,  0.346, 
30, 15000,  3.843, -3.036,  0.304, 
30, 15000,  1.704, -4.142,  0.278, 
30, 15000,  4.306, -2.697,  0.142, 
30, 15000,  3.080, -3.532,  0.131, 
30, 15000,  0.147, -2.112,  0.185, 

31, 15500,  0.095,  1.568, -0.090, 
31, 15500,  0.056, -1.988,  0.080, 
31, 15500,  3.525,  2.603,  0.228, 
31, 15500,  2.576, -3.856, -0.172, 
31, 15500, 14.085,  4.781,  1.297, 
31, 15500,  2.408, -3.945,  0.324, 
31, 15500,  3.101, -3.543,  0.061, 
31, 15500,  1.746, -4.224,  0.284, 
31, 15500, 13.658, 18.751,  0.650, 

32, 16000,  0.092,  1.613,  0.065, 
32, 16000,  0.062, -1.990,  0.173, 
32, 16000,  3.504,  2.627,  0.227, 
32, 16000,  2.586, -3.764, -0.260, 
32, 16000, 14.109,  4.780,  1.298, 
32, 16000,  2.272, -3.895,  0.347, 
32, 16000,  3.097, -3.528,  0.131, 
32, 16000,  1.739, -4.130,  0.233, 

33, 16500,  0.194,  1.610, -0.003, 
33, 16500, -0.027, -2.043,  0.144, 
33, 16500,  3.555,  2.647,  0.230, 
33, 16500,  2.284, -3.855,  0.345, 
33, 16500,  1.796, -4.152,  0.179, 
33, 16500,  0.341,  1.621,  0.126, 
33, 16500,  3.789, -3.091,  0.422, 
33, 16500,  0.383, -2.113, -0.209, 
33, 16500,  0.221,  1.610, -0.196, 

34, 17000,  0.244,  1.609, -0.092, 
34, 17000,  0.154, -2.073,  0.129, 
34, 17000,  3.593,  2.664,  0.224, 
34, 17000,  2.350, -3.875,  0.343, 
34, 17000,  1.822, -4.159,  0.177, 
34, 17000,  3.860, -3.105,  0.364, 
34, 17000,  0.419, -2.096, -0.120, 
34, 17000,  0.428, -2.104, -0.458, 
34, 17000,  1.212, -4.348, -0.084, 
34, 17000,  0.347, -2.051,  0.179, 
34, 17000,  3.456, -3.350,  0.189, 

35, 17500,  0.210, -2.045,  0.179, 
35, 17500,  3.756,  2.621,  0.121, 
35, 17500,  2.307, -3.969,  0.384, 
35, 17500,  3.839, -3.101,  0.401, 
35, 17500,  0.757, -0.809, -0.067, 
35, 17500,  0.458, -2.125, -0.164, 
35, 17500,  1.811, -4.174,  0.228, 
35, 17500,  3.226, -3.529,  0.058, 
35, 17500, 10.416,  0.901,  0.517, 
35, 17500,  0.883, -4.488,  0.059, 

