count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
1, 500,  3.561,  1.000,  0.297, 
1, 500,  6.265, -3.492,  0.296, 

2, 1000,  3.561,  1.000,  0.296, 
2, 1000,  0.278, -2.291, -0.047, 
2, 1000,  0.377,  1.887,  0.052, 
2, 1000,  0.677,  1.776, -0.107, 
2, 1000,  2.584, -3.853, -0.179, 
2, 1000,  3.698, -3.187,  0.066, 
2, 1000,  1.750, -4.259,  0.335, 
2, 1000,  3.784, -3.139,  0.447, 
2, 1000,  3.155, -3.571,  0.199, 
2, 1000,  2.380, -4.046,  0.377, 

3, 1500,  4.002,  0.782,  0.220, 
3, 1500,  0.276, -2.272,  0.032, 
3, 1500,  0.406,  1.759,  0.049, 
3, 1500,  2.590, -3.834, -0.178, 
3, 1500,  3.111, -3.558,  0.138, 
3, 1500,  1.756, -4.290,  0.299, 
3, 1500,  3.842, -3.061,  0.359, 
3, 1500,  0.275, -4.811, -0.010, 

4, 2000,  0.304, -2.288,  0.032, 
4, 2000,  0.539,  1.559,  0.064, 
4, 2000,  3.128, -3.571,  0.198, 
4, 2000,  1.734, -4.266,  0.335, 
4, 2000,  2.445, -3.992,  0.376, 
4, 2000,  0.303, -2.308, -0.243, 

5, 2500,  0.298, -2.314, -0.141, 
5, 2500,  0.432,  1.553,  0.044, 
5, 2500,  3.164, -3.617,  0.200, 
5, 2500,  1.735, -4.262,  0.296, 
5, 2500,  2.429, -3.982,  0.374, 
5, 2500,  0.307, -2.324,  0.129, 
5, 2500,  5.310,  0.314,  0.422, 

6, 3000,  0.327, -2.298, -0.005, 
6, 3000,  0.366,  1.534, -0.115, 
6, 3000,  3.142, -3.614,  0.138, 
6, 3000,  1.732, -4.273,  0.333, 
6, 3000,  2.225, -3.988,  0.363, 
6, 3000,  5.913,  0.399,  0.426, 
6, 3000,  0.271, -2.327, -0.415, 
6, 3000,  1.157, -4.508, -0.010, 
6, 3000,  3.881, -3.104,  0.363, 

7, 3500,  0.333, -2.303,  0.172, 
7, 3500,  3.072, -3.585,  0.132, 
7, 3500,  2.124, -4.219,  0.249, 
7, 3500,  2.445, -3.950,  0.362, 
7, 3500,  6.530,  0.124,  0.465, 
7, 3500,  0.311, -2.348, -0.357, 
7, 3500,  1.041, -4.514, -0.090, 
7, 3500,  3.797, -3.125,  0.313, 
7, 3500,  2.562, -3.900, -0.179, 
7, 3500,  0.398,  1.492, -0.004, 
7, 3500,  4.245, -2.956, -0.097, 

8, 4000,  0.323, -2.294,  0.128, 
8, 4000,  3.414, -3.363,  0.286, 
8, 4000,  2.367, -4.129,  0.410, 
8, 4000,  2.666, -3.982,  0.372, 
8, 4000,  6.987,  0.267,  0.419, 
8, 4000,  1.406, -4.322, -0.087, 
8, 4000,  3.940, -3.016,  0.302, 
8, 4000,  2.635, -3.724, -0.169, 
8, 4000,  0.365,  1.463,  0.053, 
8, 4000,  1.807, -4.300,  0.294, 
8, 4000,  6.813,  6.896,  0.817, 

9, 4500,  3.243, -3.479,  0.123, 
9, 4500,  2.552, -3.991,  0.399, 
9, 4500,  7.364,  0.178,  0.356, 
9, 4500,  1.364, -4.427, -0.009, 
9, 4500,  3.778, -3.088, -0.009, 
9, 4500,  2.915, -3.694, -0.252, 
9, 4500,  1.896, -4.229,  0.282, 
9, 4500,  0.352,  1.502, -0.027, 
9, 4500, 10.506,  1.361,  0.510, 
9, 4500,  4.245, -2.869, -0.088, 
9, 4500, 13.680,  5.663,  1.236, 
9, 4500, 15.146, 11.940,  1.451, 

10, 5000,  3.143, -3.433,  0.119, 
10, 5000,  2.627, -3.939,  0.309, 
10, 5000,  7.760,  0.254,  0.485, 
10, 5000,  1.357, -4.475, -0.009, 
10, 5000,  3.785, -2.967, -0.081, 
10, 5000,  4.070, -2.924,  0.274, 

11, 5500,  3.373, -3.339,  0.213, 
11, 5500,  8.136,  0.160,  0.599, 
11, 5500,  1.524, -4.457, -0.088, 
11, 5500,  3.742, -2.959, -0.011, 
11, 5500,  4.098, -2.927,  0.364, 
11, 5500,  4.333, -2.786, -0.079, 

12, 6000,  3.900, -3.014, -0.007, 
12, 6000,  8.688,  0.622,  0.488, 
12, 6000,  2.698, -3.889,  0.362, 
12, 6000,  4.523, -2.746, -0.074, 
12, 6000,  1.727, -4.439, -0.009, 
12, 6000, 10.670,  1.458,  0.540, 
12, 6000,  3.308, -3.397,  0.107, 
12, 6000, 10.584,  2.553,  0.760, 

13, 6500,  4.315, -2.810,  0.239, 
13, 6500,  4.263, -2.891, -0.135, 
13, 6500,  4.572, -2.724, -0.193, 
13, 6500, 10.279,  1.756,  0.497, 
13, 6500,  3.059, -3.668, -0.295, 
13, 6500, 15.843, 17.805,  1.569, 

14, 7000,  4.443, -2.744,  0.237, 
14, 7000,  4.689, -2.650, -0.175, 
14, 7000,  9.444,  0.693,  0.562, 
14, 7000,  3.905, -3.153,  0.133, 
14, 7000, 14.386, 12.846,  1.485, 
14, 7000,  2.964, -3.919,  0.308, 
14, 7000, 10.693,  2.701,  0.415, 
14, 7000, 10.495,  1.755,  0.308, 
14, 7000,  4.143, -2.990, -0.063, 

15, 7500,  4.573, -2.607, -0.005, 
15, 7500,  4.805, -2.551, -0.008, 
15, 7500,  9.550,  0.898,  0.490, 
15, 7500,  6.696,  7.221,  0.221, 
15, 7500, 13.662,  5.941,  1.028, 

16, 8000,  4.711, -2.563, -0.050, 
16, 8000,  9.699,  0.471,  0.513, 
16, 8000,  6.888,  7.140,  0.217, 
16, 8000, 10.381,  1.505,  0.347, 
16, 8000,  4.125, -2.932, -0.160, 

17, 8500,  4.834, -2.645, -0.050, 
17, 8500, 10.048,  0.593, -0.223, 
17, 8500,  7.355,  6.960,  0.313, 
17, 8500, 10.738,  2.025,  0.091, 
17, 8500, 23.769, -8.139, -0.041, 
17, 8500,  4.188, -2.838, -0.264, 
17, 8500,  5.977, -2.853,  0.129, 
17, 8500, 10.497,  1.487, -0.237, 

18, 9000,  5.024, -2.590,  0.149, 
18, 9000, 10.394,  1.639,  0.228, 
18, 9000,  4.864, -2.569, -0.089, 
18, 9000,  6.030, -2.838,  0.179, 
18, 9000,  5.303, -2.662, -0.423, 
18, 9000, 10.529,  0.396,  0.303, 
18, 9000, 15.139, -5.683,  0.994, 
18, 9000, 14.547, 12.549,  1.381, 

19, 9500,  5.121, -2.596,  0.169, 
19, 9500, 10.357,  1.805,  0.144, 
19, 9500,  6.025, -2.772,  0.133, 
19, 9500,  5.582, -2.923, -0.324, 
19, 9500, 15.806, -0.209,  0.132, 
19, 9500, 11.141,  0.570,  0.245, 
19, 9500,  6.160, -2.963, -0.281, 
19, 9500, 13.658,  6.162,  0.925, 
19, 9500, 10.663,  2.504,  0.160, 
19, 9500,  6.663,  7.155,  0.523, 

20, 10000,  5.337, -2.707,  0.129, 
20, 10000, 10.371,  1.777,  0.317, 
20, 10000,  6.363, -2.991,  0.176, 
20, 10000,  6.094, -2.975, -0.271, 
20, 10000, 11.604,  0.940,  0.314, 
20, 10000, 13.473,  6.229,  0.867, 
20, 10000,  7.095, -2.926,  0.081, 
20, 10000,  6.007, -2.804,  0.156, 
