mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

1, 259, 129500,  5.197, -3.856,  0.127, 
6, 1334, 667000,  5.160, -3.882,  0.052, 

1, 259, 129500,  3.720,  4.709,  0.355, 
6, 1334, 667000,  4.681,  4.614,  0.192, 

1, 259, 129500,  8.964,  4.891,  0.098, 
6, 1334, 667000,  9.109,  4.827, -0.014, 

1, 259, 129500,  2.940, -6.025,  0.080, 
6, 1334, 667000,  4.001, -6.023,  0.313, 

1, 259, 129500, 10.053, -2.537,  0.097, 
6, 1334, 667000, 10.076, -2.568,  0.268, 

1, 258, 129000,  8.261,  5.495,  0.658, 
6, 1333, 666500,  9.202,  4.676,  0.094, 

1, 258, 129000,  5.190, -3.875,  0.128, 
6, 1333, 666500,  5.376, -3.874,  0.055, 

1, 258, 129000, 10.054, -2.555, -0.015, 
6, 1333, 666500,  9.980, -2.745,  0.193, 

1, 258, 129000,  4.520,  4.649,  0.194, 
6, 1333, 666500,  4.807,  4.580,  0.062, 

1, 257, 128500,  8.283,  5.568,  0.543, 
6, 1332, 666000,  9.051,  4.881, -0.144, 

1, 257, 128500,  5.192, -3.878,  0.060, 
6, 1332, 666000,  5.175, -3.978,  0.180, 

1, 257, 128500, 10.067, -2.535,  0.214, 
6, 1332, 666000, 10.124, -2.622,  0.103, 

1, 257, 128500,  3.753,  4.710,  0.242, 
6, 1332, 666000,  4.023,  4.720,  0.134, 

1, 257, 128500,  4.500,  4.658,  0.196, 
6, 1332, 666000,  4.660,  4.615,  0.135, 

1, 257, 128500,  2.553, -6.018,  0.247, 
6, 1332, 666000,  3.322, -6.006,  0.372, 

1, 257, 128500, 28.718,  6.001,  1.060, 
6, 1332, 666000, 28.786,  5.745,  1.073, 

1, 256, 128000,  8.254,  5.500,  0.674, 
6, 1331, 665500,  8.445,  5.309,  0.677, 

1, 256, 128000,  5.190, -3.889,  0.195, 
6, 1331, 665500,  5.322, -3.876,  0.133, 

1, 256, 128000,  4.472,  4.671,  0.195, 
6, 1331, 665500,  4.640,  4.629,  0.064, 

1, 256, 128000,  8.981,  4.939,  0.103, 
6, 1331, 665500,  9.116,  4.830, -0.157, 

1, 256, 128000,  3.241,  4.802,  0.414, 
6, 1331, 665500,  3.686,  4.754,  0.250, 

1, 256, 128000,  2.702, -6.026,  0.247, 
6, 1331, 665500,  2.855, -5.992,  0.373, 

1, 255, 127500,  8.486,  5.222,  0.697, 
6, 1331, 665500,  9.116,  4.830, -0.157, 

1, 255, 127500,  5.258, -3.856,  0.068, 
6, 1331, 665500,  5.322, -3.876,  0.133, 

1, 255, 127500,  3.510,  4.743,  0.417, 
6, 1331, 665500,  3.686,  4.754,  0.250, 

1, 254, 127000,  8.246,  5.541,  0.627, 
6, 1330, 665000,  8.931,  5.027, -0.016, 

1, 254, 127000,  5.192, -3.896,  0.141, 
6, 1330, 665000,  5.264, -3.917,  0.203, 

1, 254, 127000,  2.168, -6.017,  0.432, 
6, 1330, 665000,  2.709, -6.000,  0.315, 

1, 254, 127000,  3.200,  4.819,  0.418, 
6, 1330, 665000,  3.235,  4.812,  0.421, 

1, 254, 127000,  4.405,  4.667,  0.268, 
6, 1330, 665000,  4.362,  4.733,  0.141, 

1, 253, 126500,  8.266,  5.483,  0.731, 
6, 1329, 664500,  8.409,  5.424,  0.721, 

1, 253, 126500,  5.165, -3.870,  0.144, 
6, 1329, 664500,  5.251, -3.850,  0.141, 

1, 253, 126500,  1.864, -6.025,  0.321, 
6, 1329, 664500,  2.008, -5.996,  0.376, 

1, 253, 126500,  3.660,  4.723,  0.348, 
6, 1329, 664500,  3.722,  4.724,  0.306, 

1, 253, 126500,  4.498,  4.637,  0.207, 
6, 1329, 664500,  4.343,  4.723,  0.072, 

1, 253, 126500,  1.591,  8.699,  0.231, 
6, 1329, 664500,  2.572,  8.295, -0.157, 

1, 253, 126500, 21.796, -3.185,  1.777, 
6, 1329, 664500, 21.896, -3.005,  1.424, 

1, 252, 126000,  8.282,  5.609,  0.670, 
6, 1328, 664000,  8.777,  5.113,  0.616, 

1, 252, 126000,  5.309, -3.916,  0.229, 
6, 1328, 664000,  5.243, -3.896,  0.223, 

1, 252, 126000,  0.955, -4.771,  0.065, 
6, 1328, 664000,  0.967, -4.747,  0.132, 

1, 251, 125500,  8.489,  5.384,  0.771, 
6, 1327, 663500,  8.396,  5.402,  0.780, 

1, 251, 125500,  5.237, -3.917,  0.157, 
6, 1327, 663500,  5.103, -4.072, -0.011, 

1, 251, 125500,  3.374,  4.769,  0.444, 
6, 1327, 663500,  3.271,  4.776,  0.447, 

1, 251, 125500, 10.091, -2.646,  0.266, 
6, 1327, 663500, 10.096, -2.477,  0.375, 

1, 250, 125000,  0.636, -1.312, -0.214, 
6, 1326, 663000,  0.627, -1.300, -0.231, 

1, 250, 125000,  5.297, -3.915,  0.172, 
6, 1326, 663000,  5.061, -4.213, -0.012, 

1, 250, 125000,  2.656,  8.112, -0.154, 
6, 1326, 663000,  2.925,  8.033, -0.164, 

1, 250, 125000,  0.803, -4.720,  0.303, 
6, 1326, 663000,  0.642, -4.729,  0.300, 

1, 250, 125000, 28.848,  5.668,  0.796, 
6, 1326, 663000, 29.041,  4.626,  0.797, 

1, 250, 125000,  3.163,  4.939,  0.463, 
6, 1326, 663000,  3.382,  4.742,  0.406, 

1, 249, 124500,  0.488, -1.297, -0.178, 
6, 1325, 662500,  0.511, -1.260, -0.259, 

1, 249, 124500,  8.328,  5.469,  0.837, 
6, 1325, 662500,  8.560,  5.067,  0.823, 

1, 249, 124500,  5.271, -3.894,  0.180, 
6, 1325, 662500,  5.147, -3.989,  0.172, 

1, 249, 124500,  3.286,  4.771,  0.481, 
6, 1325, 662500,  3.608,  4.608,  0.477, 

1, 249, 124500, 10.119, -2.527,  0.277, 
6, 1325, 662500, 10.040, -2.771,  0.875, 

1, 248, 124000, -0.135, -1.336, -0.219, 
6, 1324, 662000, -0.230, -1.302, -0.198, 

1, 248, 124000, -0.648,  5.484, -0.301, 
6, 1324, 662000, -0.650,  5.268, -0.294, 

1, 248, 124000,  0.465, -1.312, -0.160, 
6, 1324, 662000,  0.487, -1.269, -0.177, 

1, 248, 124000,  5.333, -3.797,  0.091, 
