mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 194, 97000, 19.376, -46.213,  0.113, 
4, 727, 363500, 18.803, -46.336,  0.164, 

2, 194, 97000, 18.992, -46.147,  0.087, 
4, 727, 363500, 19.049, -46.132,  0.066, 

2, 194, 97000, 19.107, -42.484,  0.080, 
4, 727, 363500, 18.961, -42.446, -0.004, 

2, 193, 96500, 17.891, -41.943,  0.072, 
4, 728, 364000, 17.652, -42.027,  0.076, 

2, 193, 96500, 18.280, -46.058,  0.079, 
4, 728, 364000, 18.193, -45.959,  0.086, 

2, 193, 96500, 19.112, -42.497, -0.165, 
4, 728, 364000, 19.014, -42.457,  0.127, 

2, 193, 96500, 19.042, -46.198,  0.158, 
4, 728, 364000, 18.977, -46.129,  0.083, 

2, 193, 96500, 18.666, -46.447,  0.151, 
4, 728, 364000, 18.689, -46.415,  0.148, 

2, 192, 96000, 17.804, -42.002,  0.033, 
4, 729, 364500, 17.639, -42.018,  0.072, 

2, 192, 96000, 18.049, -45.093, -0.010, 
4, 729, 364500, 17.983, -45.409,  0.096, 

2, 192, 96000, 19.011, -46.165,  0.097, 
4, 729, 364500, 18.137, -45.945,  0.106, 

2, 192, 96000, 18.103, -48.183, -0.436, 
4, 729, 364500, 17.938, -48.197, -0.447, 

2, 191, 95500, 17.812, -41.973,  0.104, 
4, 730, 365000, 17.645, -41.988,  0.134, 

2, 191, 95500, 17.965, -45.439,  0.070, 
4, 730, 365000, 17.996, -45.414,  0.038, 

2, 191, 95500, 17.547, -45.438, -0.049, 
4, 730, 365000, 17.646, -45.423,  0.039, 

2, 191, 95500, 17.624, -43.207, -0.261, 
4, 730, 365000, 17.445, -43.217, -0.218, 

2, 191, 95500, 17.479, -43.247,  0.115, 
4, 730, 365000, 17.345, -43.277,  0.113, 

2, 190, 95000, 17.477, -43.230,  0.106, 
4, 731, 365500, 17.438, -43.230, -0.244, 

2, 190, 95000, 17.695, -45.421,  0.037, 
4, 731, 365500, 17.592, -45.413,  0.037, 

2, 190, 95000, 19.047, -42.479,  0.152, 
4, 731, 365500, 17.620, -42.013,  0.070, 

2, 190, 95000, 17.219, -45.126,  0.042, 
4, 731, 365500, 17.675, -45.024,  0.027, 

2, 190, 95000, 17.372, -40.004, -0.009, 
4, 731, 365500, 16.227, -39.847,  0.421, 

2, 189, 94500, 17.342, -39.998, -0.088, 
4, 732, 366000, 17.104, -40.028, -0.085, 

2, 189, 94500, 17.952, -45.453,  0.075, 
4, 732, 366000, 17.409, -45.454, -0.074, 

2, 189, 94500, 17.478, -43.236,  0.112, 
4, 732, 366000, 17.427, -43.209, -0.246, 

2, 189, 94500, 17.034, -45.185,  0.035, 
4, 732, 366000, 17.128, -45.144,  0.062, 

2, 188, 94000, 17.302, -40.012, -0.176, 
4, 733, 366500, 17.126, -40.022,  0.179, 

2, 188, 94000, 16.993, -45.206,  0.061, 
4, 733, 366500, 16.938, -45.186,  0.029, 

2, 188, 94000, 16.829, -45.164,  0.055, 
4, 733, 366500, 16.752, -45.175,  0.066, 

2, 188, 94000, 16.537, -45.465,  0.045, 
4, 733, 366500, 16.408, -45.448,  0.083, 

2, 188, 94000, 17.364, -41.647,  0.269, 
4, 733, 366500, 15.126, -41.883,  0.043, 

2, 187, 93500, 16.677, -45.281,  0.057, 
4, 734, 367000, 16.571, -45.270,  0.041, 

2, 187, 93500, 17.329, -41.656,  0.277, 
4, 734, 367000, 15.149, -41.874,  0.221, 

2, 187, 93500, 16.441, -48.103, -0.505, 
4, 734, 367000, 16.281, -48.144, -0.440, 

2, 186, 93000, 15.298, -39.875, -0.266, 
4, 735, 367500, 15.203, -39.914, -0.176, 

2, 186, 93000, 16.231, -46.091,  0.135, 
4, 735, 367500, 16.147, -46.118,  0.115, 

2, 186, 93000, 16.335, -48.139, -0.352, 
4, 735, 367500, 16.298, -48.160, -0.359, 

2, 186, 93000, 15.533, -46.548,  0.138, 
4, 735, 367500, 15.433, -46.555,  0.114, 

2, 186, 93000, 15.286, -41.796, -0.054, 
4, 735, 367500, 15.148, -41.861, -0.107, 

2, 185, 92500, 15.522, -46.518,  0.135, 
4, 736, 368000, 15.408, -46.563,  0.108, 

2, 185, 92500, 16.855, -39.908, -0.010, 
4, 736, 368000, 15.892, -39.573, -0.183, 

2, 185, 92500, 15.241, -41.839,  0.036, 
4, 736, 368000, 15.167, -41.843,  0.075, 

2, 185, 92500, 15.991, -46.918,  0.069, 
4, 736, 368000, 15.972, -46.938, -0.005, 

2, 184, 92000, 14.600, -46.436,  0.143, 
4, 737, 368500, 14.440, -46.382,  0.163, 

2, 184, 92000, 15.213, -41.830,  0.077, 
4, 737, 368500, 15.118, -41.868,  0.137, 

2, 184, 92000, 15.376, -46.540,  0.161, 
4, 737, 368500, 15.328, -46.569,  0.160, 

2, 184, 92000, 15.997, -39.869,  0.337, 
4, 737, 368500, 13.909, -39.990,  0.333, 

2, 184, 92000, 14.741, -48.403, -0.296, 
4, 737, 368500, 13.921, -48.013, -0.381, 

2, 183, 91500, 14.499, -46.335,  0.126, 
4, 738, 369000, 14.424, -46.374,  0.135, 

2, 183, 91500, 15.208, -41.846, -0.053, 
4, 738, 369000, 15.109, -41.853,  0.107, 

2, 183, 91500, 14.481, -48.385, -0.376, 
4, 738, 369000, 14.402, -48.394, -0.388, 

2, 183, 91500, 16.149, -39.881,  0.064, 
4, 738, 369000, 13.882, -39.993,  0.244, 

2, 183, 91500, 14.190, -45.599, -0.129, 
4, 738, 369000, 13.939, -45.335,  0.067, 

2, 183, 91500, 14.031, -48.004, -0.344, 
4, 738, 369000, 13.941, -48.032, -0.363, 

2, 182, 91000, 14.049, -45.289,  0.054, 
