mapID, count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

4, 553, 276500, 79.101, -47.688,  0.293, 
6, 318, 159000, 79.278, -47.791,  0.460, 

4, 553, 276500, 71.515, -44.393,  0.297, 
6, 318, 159000, 68.701, -51.132,  0.801, 

4, 552, 276000, 86.283, -42.813, -0.009, 
6, 319, 159500, 86.035, -42.344, -0.078, 

4, 552, 276000, 79.111, -47.568,  0.258, 
6, 319, 159500, 79.252, -47.700,  0.431, 

4, 551, 275500, 86.490, -43.411,  0.056, 
6, 320, 160000, 86.190, -42.696, -0.078, 

4, 551, 275500, 79.211, -47.620,  0.259, 
6, 320, 160000, 79.257, -47.769,  0.245, 

4, 550, 275000, 86.644, -43.879, -0.008, 
6, 321, 160500, 86.298, -42.955, -0.078, 

4, 550, 275000, 79.207, -47.616,  0.258, 
6, 321, 160500, 79.340, -47.815,  0.281, 

4, 549, 274500, 79.205, -47.745,  0.270, 
6, 322, 161000, 79.236, -47.779,  0.347, 

4, 549, 274500, 86.742, -44.126, -0.008, 
6, 322, 161000, 86.498, -43.434, -0.152, 

4, 549, 274500, 82.143, -47.054, -0.027, 
6, 322, 161000, 82.030, -46.902,  0.028, 

4, 548, 274000, 87.123, -45.064, -0.076, 
6, 323, 161500, 86.692, -43.927, -0.008, 

4, 548, 274000, 82.168, -47.068, -0.052, 
6, 323, 161500, 82.018, -46.900,  0.077, 

4, 547, 273500, 87.137, -45.159, -0.008, 
6, 324, 162000, 86.842, -44.286, -0.078, 

4, 547, 273500, 82.181, -47.153, -0.057, 
6, 324, 162000, 82.011, -46.925,  0.043, 

4, 547, 273500, 71.443, -45.598, -0.231, 
6, 324, 162000, 76.685, -51.099, -0.472, 

4, 546, 273000, 87.263, -45.525, -0.008, 
6, 325, 162500, 86.903, -44.482, -0.078, 

4, 546, 273000, 79.351, -48.003,  0.316, 
6, 325, 162500, 79.254, -47.699,  0.295, 

4, 546, 273000, 82.176, -47.135, -0.094, 
6, 325, 162500, 82.139, -47.051, -0.086, 

4, 546, 273000, 76.129, -50.936, -0.314, 
6, 325, 162500, 82.879, -52.860,  0.095, 

4, 545, 272500, 87.453, -46.001, -0.074, 
6, 326, 163000, 87.179, -45.228, -0.008, 

4, 545, 272500, 82.190, -47.162,  0.087, 
6, 326, 163000, 82.197, -47.141, -0.026, 

