count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000, -24.618, -27.576, -0.043, 
2, 1000, -24.261, -28.409, -0.084, 
2, 1000, -25.295, -17.414,  0.621, 
2, 1000, -28.480, -16.167,  0.394, 
2, 1000, -9.299, -18.799,  0.686, 

3, 1500, -24.587, -27.593,  0.172, 
3, 1500, -24.252, -28.450, -0.054, 
3, 1500, -9.502, -18.653,  0.683, 
3, 1500, -19.704, -20.206,  0.380, 
3, 1500, -10.574, -27.113,  0.503, 
3, 1500, -7.527, -20.630,  1.537, 
3, 1500, -4.522,  2.659,  1.029, 
3, 1500, -24.743, -17.920,  0.704, 

4, 2000, -24.604, -27.611,  0.172, 
4, 2000, -24.239, -28.457, -0.053, 
4, 2000, -9.500, -18.738,  0.681, 
4, 2000, -19.723, -20.230,  0.826, 
4, 2000, -10.134, -26.537,  0.524, 
4, 2000, -24.742, -17.927,  0.704, 
4, 2000, -24.614, -27.580, -0.043, 

5, 2500, -24.609, -27.603,  0.173, 
5, 2500, -24.232, -28.443, -0.053, 
5, 2500, -9.503, -18.675,  0.682, 
5, 2500, -19.701, -20.197,  0.380, 

6, 3000, -24.601, -27.611,  0.172, 
6, 3000, -24.267, -28.439, -0.054, 
6, 3000, -9.484, -18.725,  0.681, 
6, 3000, -19.708, -20.217,  0.827, 
6, 3000, -24.607, -27.571, -0.084, 
6, 3000, -10.166, -26.504,  0.523, 
6, 3000, -4.538,  2.632,  1.028, 

7, 3500, -24.597, -27.584,  0.173, 
7, 3500, -24.256, -28.447, -0.054, 
7, 3500, -19.694, -20.206,  0.380, 
7, 3500, -24.619, -27.575, -0.043, 
7, 3500, -10.147, -26.486,  0.524, 
7, 3500, -21.280, -30.369,  0.027, 

8, 4000, -24.615, -27.597,  0.173, 
8, 4000, -24.232, -28.443, -0.053, 
8, 4000, -19.681, -20.200,  0.495, 
8, 4000, -21.390, -30.307,  0.103, 
8, 4000, -21.346, -30.241, -0.281, 
8, 4000, -20.607, -29.355,  0.183, 
