count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 1000,  0.339,  1.821,  0.052, 
2, 1000,  8.720, -8.748,  0.767, 
2, 1000,  0.632, -4.364,  0.229, 
2, 1000,  9.812, -2.843,  0.286, 
2, 1000,  0.246, -4.040, -0.150, 
2, 1000,  0.215, -3.984,  0.208, 
2, 1000,  7.459, -9.208,  0.617, 

3, 1500,  0.514,  1.694, -0.137, 
3, 1500,  8.660, -8.722,  0.948, 
3, 1500,  0.198, -3.973,  0.207, 
3, 1500,  9.963, -2.757,  0.414, 
3, 1500,  0.209, -3.958, -0.147, 
3, 1500,  7.494, -9.120,  0.911, 
3, 1500, 11.523,  1.671,  0.151, 
3, 1500,  9.295, -1.007, -0.019, 
3, 1500,  5.806,  3.896, -0.133, 
3, 1500, 17.591, -6.103,  1.624, 
3, 1500,  6.589, -9.973,  0.922, 

4, 2000,  0.583,  1.526, -0.126, 
4, 2000,  8.659, -8.722,  0.948, 
4, 2000,  0.197, -3.946, -0.075, 
4, 2000,  7.446, -9.212,  0.735, 
4, 2000,  9.290, -1.045, -0.178, 
4, 2000,  5.755,  3.955, -0.014, 
4, 2000, 17.579, -6.119,  1.623, 
4, 2000,  0.205, -3.944,  0.277, 
4, 2000, 10.496, -8.264,  0.374, 
4, 2000,  8.123,  3.706, -0.018, 
4, 2000,  4.301, -12.605,  1.162, 

5, 2500,  0.527,  1.454, -0.119, 
5, 2500,  8.718, -8.727,  0.865, 
5, 2500,  0.202, -3.961, -0.075, 
5, 2500,  7.458, -9.205,  0.735, 
5, 2500,  9.297, -1.092, -0.019, 
5, 2500,  2.609, -11.953,  1.067, 
5, 2500,  6.542, -9.965,  1.040, 

6, 3000,  0.464,  1.437, -0.148, 
6, 3000,  8.728, -8.788,  0.956, 
6, 3000,  0.194, -3.967, -0.008, 
6, 3000,  7.449, -9.156,  1.029, 
6, 3000,  9.275, -1.287, -0.019, 
6, 3000,  2.584, -11.951,  1.066, 
6, 3000,  6.527, -9.985,  1.040, 
6, 3000,  0.483,  1.436,  0.094, 

7, 3500,  0.441,  1.442, -0.029, 
7, 3500,  8.608, -8.841,  0.865, 
7, 3500,  0.187, -3.976,  0.052, 
7, 3500,  7.467, -9.176,  1.032, 
7, 3500,  9.280, -1.192,  0.122, 
7, 3500,  6.531, -9.988,  1.041, 
7, 3500,  5.791,  3.922, -0.133, 
7, 3500,  5.775, -11.538,  1.125, 

8, 4000,  0.638,  1.537, -0.238, 
8, 4000,  8.636, -8.830,  0.767, 
8, 4000,  0.278, -3.952, -0.008, 
8, 4000,  7.444, -9.181,  0.615, 
8, 4000,  9.245, -1.251, -0.019, 
8, 4000,  6.528, -9.980,  1.040, 
8, 4000,  5.826,  3.863, -0.133, 
8, 4000,  0.234,  1.843, -0.106, 
8, 4000,  9.922, -8.871,  0.373, 
8, 4000,  0.667,  1.545,  0.104, 

9, 4500,  0.674,  1.690, -0.179, 
9, 4500,  8.616, -8.852,  0.866, 
9, 4500,  0.314, -3.922,  0.110, 
9, 4500,  7.518, -9.149,  0.914, 
9, 4500,  9.282, -1.156,  0.262, 
9, 4500,  6.539, -10.005,  1.043, 
9, 4500,  5.823,  3.866, -0.133, 

10, 5000,  0.571,  1.732,  0.024, 
10, 5000,  8.581, -8.789,  0.861, 
10, 5000,  0.208, -3.958,  0.278, 
10, 5000,  7.511, -9.130,  0.912, 
10, 5000,  9.292, -1.162,  0.262, 
10, 5000,  6.545, -10.002,  1.043, 
10, 5000,  5.771,  3.953, -0.014, 
10, 5000,  0.782, -3.912,  0.308, 
10, 5000,  8.121,  3.681, -0.018, 
10, 5000,  0.204, -3.972, -0.076, 
10, 5000,  9.946, -8.890,  0.173, 

11, 5500,  0.468,  1.565,  0.085, 
11, 5500,  8.640, -8.823,  0.767, 
11, 5500,  0.213, -3.955,  0.278, 
11, 5500,  7.505, -9.113,  0.911, 
11, 5500,  9.324, -1.095, -0.178, 
11, 5500,  6.555, -9.985,  1.042, 
11, 5500,  0.213, -3.953, -0.226, 
11, 5500,  5.836, -11.520,  0.996, 

12, 6000,  0.508,  1.458, -0.057, 
12, 6000,  8.753, -8.772,  0.869, 
12, 6000,  0.204, -3.975,  0.207, 
12, 6000,  7.474, -9.199,  0.736, 
12, 6000,  6.539, -9.973,  1.040, 
12, 6000,  0.207, -3.960, -0.390, 
12, 6000,  9.964, -8.872,  0.173, 
12, 6000,  5.845,  3.842, -0.133, 
12, 6000,  4.340, -12.617,  1.164, 

13, 6500,  0.496,  1.435, -0.087, 
13, 6500,  8.619, -8.803,  0.864, 
13, 6500,  0.214, -3.970,  0.307, 
13, 6500,  7.464, -9.195,  0.735, 
13, 6500,  6.558, -9.970,  1.041, 
13, 6500,  9.949, -8.849,  0.173, 
13, 6500,  5.757,  3.964, -0.133, 
13, 6500,  9.315, -1.170, -0.019, 
13, 6500,  0.214, -3.976, -0.147, 
13, 6500,  5.792, -11.521,  1.125, 
13, 6500,  8.105,  3.727, -0.018, 

14, 7000,  0.552,  1.436, -0.118, 
14, 7000,  8.677, -8.787,  0.862, 
14, 7000,  0.221, -3.966,  0.207, 
14, 7000,  7.556, -9.069,  0.907, 
14, 7000,  9.970, -8.855,  0.173, 
14, 7000,  5.803,  3.910, -0.132, 
14, 7000,  9.311, -1.123, -0.019, 
