count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
44, 22000,  8.790, -8.691,  0.833, 
44, 22000, 10.470, -8.084,  0.520, 
44, 22000,  0.296, -3.767,  0.103, 
44, 22000,  5.881,  0.633,  0.156, 
44, 22000,  9.657, -1.784,  0.256, 
44, 22000,  0.306,  1.892,  0.052, 
44, 22000,  0.840, -4.324, -0.083, 

45, 22500,  0.948, -4.307, -0.161, 
45, 22500,  4.645, -0.302,  0.204, 
45, 22500,  8.092, -2.606,  0.399, 
45, 22500,  3.041, -6.528,  0.089, 
45, 22500,  7.655, -9.024,  0.701, 
45, 22500,  8.950, -8.504,  1.005, 
45, 22500, 10.649, -7.938,  0.507, 
45, 22500,  6.195,  0.358,  0.275, 
45, 22500,  6.170,  0.768,  0.070, 
45, 22500,  3.290, -13.329,  0.840, 

46, 23000,  1.280, -4.347, -0.084, 
46, 23000,  5.155, -0.310,  0.108, 
46, 23000,  8.384, -2.591,  0.208, 
46, 23000,  3.060, -6.523,  0.188, 
46, 23000,  7.497, -9.961,  0.903, 
46, 23000,  9.020, -8.788,  1.011, 
46, 23000,  3.618, -6.503, -0.014, 
46, 23000,  6.493,  0.670,  0.145, 
46, 23000,  5.680,  4.292, -0.012, 

47, 23500,  1.314, -4.338, -0.247, 
47, 23500,  5.459, -0.238,  0.152, 
47, 23500,  3.407, -6.405,  0.182, 
47, 23500,  6.859, -10.984,  1.052, 
47, 23500,  8.295, -8.596,  0.824, 
47, 23500,  8.679, -1.973,  0.279, 
47, 23500,  5.714,  4.266, -0.011, 
47, 23500,  7.162,  1.294,  0.393, 
47, 23500, 10.862, -7.501,  0.597, 

48, 24000,  3.366, -6.423,  0.083, 
48, 24000,  7.150, -10.432,  0.987, 
48, 24000,  8.133, -8.672,  0.800, 
48, 24000,  8.803, -1.943,  0.091, 
48, 24000,  5.805,  4.202, -0.011, 
48, 24000,  7.092,  0.661,  0.347, 
48, 24000, 10.910, -7.642,  0.450, 
48, 24000, 17.503,  6.585,  1.425, 
48, 24000,  6.337, -11.430,  1.043, 
48, 24000,  9.337, -8.255,  0.936, 
48, 24000,  7.148,  0.213,  0.256, 

49, 24500,  3.391, -6.448,  0.177, 
49, 24500,  7.752, -9.820,  0.843, 
49, 24500,  8.019, -8.759,  0.770, 
49, 24500,  8.838, -1.902,  0.263, 
49, 24500,  5.956,  4.146,  0.068, 
49, 24500,  7.377,  0.452,  0.062, 
49, 24500, 10.846, -7.647,  0.446, 
49, 24500,  7.277, -10.475,  0.976, 
49, 24500,  9.149, -8.461,  0.819, 
49, 24500,  7.434,  0.048,  0.249, 
49, 24500,  6.022, -0.709,  0.179, 
49, 24500,  8.246,  4.057,  0.094, 

50, 25000,  3.383, -6.463,  0.175, 
50, 25000,  8.044, -8.837,  0.764, 
50, 25000,  6.098, -0.583,  0.086, 
50, 25000,  5.876,  4.158, -0.010, 
50, 25000,  7.540,  0.156,  0.124, 
50, 25000, 10.792, -7.651,  0.440, 
50, 25000,  9.363, -8.345,  0.888, 
50, 25000,  8.149,  4.121,  0.090, 

51, 25500,  3.380, -6.406,  0.172, 
51, 25500,  6.344, -0.672,  0.080, 
51, 25500,  6.039,  4.107, -0.010, 
51, 25500,  7.752,  0.127,  0.117, 
51, 25500, 10.816, -7.658,  0.720, 
51, 25500,  9.413, -8.657,  0.713, 
51, 25500,  8.268,  4.014,  0.252, 
51, 25500, 10.458,  3.852,  0.101, 
51, 25500, 10.436, -8.150,  0.543, 

52, 26000,  3.581, -6.447,  0.080, 
52, 26000,  6.609, -0.962,  0.038, 
52, 26000,  7.867,  0.016,  0.246, 
52, 26000, 10.986, -7.539,  0.519, 
52, 26000,  9.511, -8.610,  0.516, 
52, 26000,  8.244,  4.075,  0.172, 
52, 26000, 11.662,  2.225,  0.109, 
52, 26000,  6.048,  4.120, -0.096, 
52, 26000,  7.828,  0.316,  0.053, 
52, 26000,  7.283, -10.591,  0.832, 
52, 26000,  8.098, -8.733,  0.809, 

53, 26500,  3.641, -6.450,  0.079, 
53, 26500,  6.889, -1.024,  0.071, 
53, 26500,  8.098, -0.126,  0.290, 
53, 26500, 11.194, -7.380,  0.736, 
53, 26500,  9.713, -8.533,  0.497, 
53, 26500,  8.016,  0.223, -0.010, 
53, 26500,  7.442, -10.413,  0.914, 
